speaker,category,file_name,wav_path,transcript
jvs001,parallel100,VOICEACTRESS100_082,..\dataset\jvs_ver1\jvs_ver1\jvs001\parallel100\wav24kHz16bit\VOICEACTRESS100_082.wav,カーミラ星と呼ばれている惑星から、宇宙船に乗って、地球に侵入した宇宙人。
jvs001,nonpara30,BASIC5000_0518,..\dataset\jvs_ver1\jvs_ver1\jvs001\nonpara30\wav24kHz16bit\BASIC5000_0518.wav,長所が多いのに、彼女は自慢したがらなかった。
jvs001,whisper10,BASIC5000_0235,..\dataset\jvs_ver1\jvs_ver1\jvs001\whisper10\wav24kHz16bit\BASIC5000_0235.wav,母は私の望むものは、何でも言わなくてもかなえてくれる。
jvs001,falset10,VOICEACTRESS100_003,..\dataset\jvs_ver1\jvs_ver1\jvs001\falset10\wav24kHz16bit\VOICEACTRESS100_003.wav,コンピュータゲームのメーカーや、業界団体などに関連する人物のカテゴリ。
jvs002,parallel100,VOICEACTRESS100_032,..\dataset\jvs_ver1\jvs_ver1\jvs002\parallel100\wav24kHz16bit\VOICEACTRESS100_032.wav,キー局が発信する、ニュースネットワーク名を冠したタイトルの、ニュース番組の中では、レギュラー放送が、最も多い。
jvs002,nonpara30,BASIC5000_1145,..\dataset\jvs_ver1\jvs_ver1\jvs002\nonpara30\wav24kHz16bit\BASIC5000_1145.wav,自分の仕事はあまり好きではなかったが、新しく買った家で、お金を借りていた。
jvs002,whisper10,BASIC5000_0338,..\dataset\jvs_ver1\jvs_ver1\jvs002\whisper10\wav24kHz16bit\BASIC5000_0338.wav,虎は、消滅しかかっている種族である。
jvs002,falset10,BASIC5000_1260,..\dataset\jvs_ver1\jvs_ver1\jvs002\falset10\wav24kHz16bit\BASIC5000_1260.wav,だけど、俺の心はまだカオスの中にいる。
jvs003,parallel100,VOICEACTRESS100_087,..\dataset\jvs_ver1\jvs_ver1\jvs003\parallel100\wav24kHz16bit\VOICEACTRESS100_087.wav,福岡ダイエーホークスではなく、長距離砲の補強を目指していた、大阪近鉄バファローズから、オファーを受けて入団。
jvs003,nonpara30,TRAVEL1000_0872,..\dataset\jvs_ver1\jvs_ver1\jvs003\nonpara30\wav24kHz16bit\TRAVEL1000_0872.wav,ハワイへのクルーズに興味があります。
jvs003,whisper10,VOICEACTRESS100_004,..\dataset\jvs_ver1\jvs_ver1\jvs003\whisper10\wav24kHz16bit\VOICEACTRESS100_004.wav,サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。
jvs003,falset10,BASIC5000_1177,..\dataset\jvs_ver1\jvs_ver1\jvs003\falset10\wav24kHz16bit\BASIC5000_1177.wav,税に関して言えば、それは魅力的な制度だ。
jvs004,parallel100,VOICEACTRESS100_076,..\dataset\jvs_ver1\jvs_ver1\jvs004\parallel100\wav24kHz16bit\VOICEACTRESS100_076.wav,ディオニューソスの、寵愛を受ける、オイネウス王と、妃、アルタイアーの間に、カリュドーンの王女として、生を受けた。
jvs004,nonpara30,BASIC5000_1704,..\dataset\jvs_ver1\jvs_ver1\jvs004\nonpara30\wav24kHz16bit\BASIC5000_1704.wav,街路樹のある通りの向こうに、海が見えた。
jvs004,whisper10,BASIC5000_0074,..\dataset\jvs_ver1\jvs_ver1\jvs004\whisper10\wav24kHz16bit\BASIC5000_0074.wav,冗談にしろ、恐怖からにしろ、決してうそを言うな。
jvs004,falset10,BASIC5000_1438,..\dataset\jvs_ver1\jvs_ver1\jvs004\falset10\wav24kHz16bit\BASIC5000_1438.wav,微生物学の基本から、最新の情報までを網羅する。
jvs005,parallel100,VOICEACTRESS100_012,..\dataset\jvs_ver1\jvs_ver1\jvs005\parallel100\wav24kHz16bit\VOICEACTRESS100_012.wav,構造は、鋼製の単一アーチで、橋脚は、石積みである。
jvs005,nonpara30,BASIC5000_1014,..\dataset\jvs_ver1\jvs_ver1\jvs005\nonpara30\wav24kHz16bit\BASIC5000_1014.wav,身体が運動を必要とするように、精神も健康であるために、刺激を必要とする。
jvs005,whisper10,ONOMATOPEE300_208,..\dataset\jvs_ver1\jvs_ver1\jvs005\whisper10\wav24kHz16bit\ONOMATOPEE300_208.wav,学校で、普段はぼーっとしているくせに、こういうときだけきりりとした顔つきになるのは卑怯だ。
jvs005,falset10,VOICEACTRESS100_004,..\dataset\jvs_ver1\jvs_ver1\jvs005\falset10\wav24kHz16bit\VOICEACTRESS100_004.wav,サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。
jvs006,parallel100,VOICEACTRESS100_078,..\dataset\jvs_ver1\jvs_ver1\jvs006\parallel100\wav24kHz16bit\VOICEACTRESS100_078.wav,表現行列の指標表を、分子の対称性を表す、点群の指標表を用いて、既約表現へ分解する。
jvs006,nonpara30,BASIC5000_0069,..\dataset\jvs_ver1\jvs_ver1\jvs006\nonpara30\wav24kHz16bit\BASIC5000_0069.wav,ミンは、昨夜、友達に電話をかけました。
jvs006,whisper10,VOICEACTRESS100_004,..\dataset\jvs_ver1\jvs_ver1\jvs006\whisper10\wav24kHz16bit\VOICEACTRESS100_004.wav,サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。
jvs006,falset10,BASIC5000_2121,..\dataset\jvs_ver1\jvs_ver1\jvs006\falset10\wav24kHz16bit\BASIC5000_2121.wav,死傷者は、合計、１、０００名となったということだ。
jvs007,parallel100,VOICEACTRESS100_092,..\dataset\jvs_ver1\jvs_ver1\jvs007\parallel100\wav24kHz16bit\VOICEACTRESS100_092.wav,紫外線は、表面エネルギーの、小さいポリマーを接着する際の、前処理に利用される。
jvs007,nonpara30,TRAVEL1000_0502,..\dataset\jvs_ver1\jvs_ver1\jvs007\nonpara30\wav24kHz16bit\TRAVEL1000_0502.wav,ファミリーレストランは、家族や友人と気楽に行ける所です。
jvs007,whisper10,VOICEACTRESS100_004,..\dataset\jvs_ver1\jvs_ver1\jvs007\whisper10\wav24kHz16bit\VOICEACTRESS100_004.wav,サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。
jvs007,falset10,VOICEACTRESS100_002,..\dataset\jvs_ver1\jvs_ver1\jvs007\falset10\wav24kHz16bit\VOICEACTRESS100_002.wav,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。
jvs008,parallel100,VOICEACTRESS100_029,..\dataset\jvs_ver1\jvs_ver1\jvs008\parallel100\wav24kHz16bit\VOICEACTRESS100_029.wav,現在の滑走を目的とした、スキーブーツは、硬いプラスチックシェルと、柔らかいインナーブーツからなる。
jvs008,nonpara30,BASIC5000_2469,..\dataset\jvs_ver1\jvs_ver1\jvs008\nonpara30\wav24kHz16bit\BASIC5000_2469.wav,抗議することもできないうちに、僕は手錠をかけられ、留置場に送られていた。
jvs008,whisper10,VOICEACTRESS100_005,..\dataset\jvs_ver1\jvs_ver1\jvs008\whisper10\wav24kHz16bit\VOICEACTRESS100_005.wav,シルバーサーファー襲撃事件までに、リチャーズは、チーム名と共に、国際的にスーパーヒーロー、および、有名人として、認知されている。
jvs008,falset10,TRAVEL1000_0746,..\dataset\jvs_ver1\jvs_ver1\jvs008\falset10\wav24kHz16bit\TRAVEL1000_0746.wav,夕食にお招きいただきまして、ありがとうございました。
jvs009,parallel100,VOICEACTRESS100_001,..\dataset\jvs_ver1\jvs_ver1\jvs009\parallel100\wav24kHz16bit\VOICEACTRESS100_001.wav,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。
jvs009,nonpara30,TRAVEL1000_0787,..\dataset\jvs_ver1\jvs_ver1\jvs009\nonpara30\wav24kHz16bit\TRAVEL1000_0787.wav,何かございましたら、お声をかけてください。
jvs009,whisper10,BASIC5000_0885,..\dataset\jvs_ver1\jvs_ver1\jvs009\whisper10\wav24kHz16bit\BASIC5000_0885.wav,在留届に変更があったり、未だに、変更届を提出されていない方は、至急、提出頂きますようお願いします。
jvs009,falset10,VOICEACTRESS100_002,..\dataset\jvs_ver1\jvs_ver1\jvs009\falset10\wav24kHz16bit\VOICEACTRESS100_002.wav,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。
jvs010,parallel100,VOICEACTRESS100_044,..\dataset\jvs_ver1\jvs_ver1\jvs010\parallel100\wav24kHz16bit\VOICEACTRESS100_044.wav,クウェーンバーンチャーンは、小さなコミュニティーで、農業や、商業を中心に、成り立っていたと、考えられている。
jvs010,nonpara30,BASIC5000_1328,..\dataset\jvs_ver1\jvs_ver1\jvs010\nonpara30\wav24kHz16bit\BASIC5000_1328.wav,体操競技の中では、鉄棒の大車輪が好きです。
jvs010,whisper10,BASIC5000_1889,..\dataset\jvs_ver1\jvs_ver1\jvs010\whisper10\wav24kHz16bit\BASIC5000_1889.wav,針の落ちる音も聞こえるほどの静けさだ。
jvs010,falset10,TRAVEL1000_0708,..\dataset\jvs_ver1\jvs_ver1\jvs010\falset10\wav24kHz16bit\TRAVEL1000_0708.wav,ドアの所の箱を、どけていただけませんか。
jvs011,parallel100,VOICEACTRESS100_098,..\dataset\jvs_ver1\jvs_ver1\jvs011\parallel100\wav24kHz16bit\VOICEACTRESS100_098.wav,乾ドックに入渠して、オーバーホールすべきかどうか、パフォーマンスがチェックされた。
jvs011,nonpara30,BASIC5000_0986,..\dataset\jvs_ver1\jvs_ver1\jvs011\nonpara30\wav24kHz16bit\BASIC5000_0986.wav,ソレノイドへの突入電流で、ノイズが発生します。
jvs011,whisper10,BASIC5000_0700,..\dataset\jvs_ver1\jvs_ver1\jvs011\whisper10\wav24kHz16bit\BASIC5000_0700.wav,内弟子とは、師と寝食をともにし、あらゆる武術のノウハウと、秘伝を伝える制度だ。
jvs011,falset10,BASIC5000_0671,..\dataset\jvs_ver1\jvs_ver1\jvs011\falset10\wav24kHz16bit\BASIC5000_0671.wav,読みたいと思う本を、どれでもお取り下さい。
jvs012,parallel100,VOICEACTRESS100_049,..\dataset\jvs_ver1\jvs_ver1\jvs012\parallel100\wav24kHz16bit\VOICEACTRESS100_049.wav,プレイヤーキャラクターは、宮殿を占拠した、邪悪なクリーチャーに遭遇する。
jvs012,nonpara30,BASIC5000_0544,..\dataset\jvs_ver1\jvs_ver1\jvs012\nonpara30\wav24kHz16bit\BASIC5000_0544.wav,うがい薬でたびたびうがいをしてください。
jvs012,whisper10,VOICEACTRESS100_001,..\dataset\jvs_ver1\jvs_ver1\jvs012\whisper10\wav24kHz16bit\VOICEACTRESS100_001.wav,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。
jvs012,falset10,VOICEACTRESS100_001,..\dataset\jvs_ver1\jvs_ver1\jvs012\falset10\wav24kHz16bit\VOICEACTRESS100_001.wav,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。
jvs013,parallel100,VOICEACTRESS100_078,..\dataset\jvs_ver1\jvs_ver1\jvs013\parallel100\wav24kHz16bit\VOICEACTRESS100_078.wav,表現行列の指標表を、分子の対称性を表す、点群の指標表を用いて、既約表現へ分解する。
jvs013,nonpara30,BASIC5000_1495,..\dataset\jvs_ver1\jvs_ver1\jvs013\nonpara30\wav24kHz16bit\BASIC5000_1495.wav,食虫植物は、昆虫を捕らえるための様々な種類の罠を備えている。
jvs013,whisper10,BASIC5000_2449,..\dataset\jvs_ver1\jvs_ver1\jvs013\whisper10\wav24kHz16bit\BASIC5000_2449.wav,全学生はみんな図書館に入ることができる。
jvs013,falset10,VOICEACTRESS100_003,..\dataset\jvs_ver1\jvs_ver1\jvs013\falset10\wav24kHz16bit\VOICEACTRESS100_003.wav,コンピュータゲームのメーカーや、業界団体などに関連する人物のカテゴリ。
jvs014,parallel100,VOICEACTRESS100_069,..\dataset\jvs_ver1\jvs_ver1\jvs014\parallel100\wav24kHz16bit\VOICEACTRESS100_069.wav,ブルーリッジ山脈の源流から、リッチモンドまで、多くの早瀬や淵が、釣りや急流くだりを楽しませてくれる。
jvs014,nonpara30,BASIC5000_0558,..\dataset\jvs_ver1\jvs_ver1\jvs014\nonpara30\wav24kHz16bit\BASIC5000_0558.wav,船が転覆し、大勢の乗客が、海に投げ出された。
jvs014,whisper10,VOICEACTRESS100_002,..\dataset\jvs_ver1\jvs_ver1\jvs014\whisper10\wav24kHz16bit\VOICEACTRESS100_002.wav,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。
jvs014,falset10,BASIC5000_1093,..\dataset\jvs_ver1\jvs_ver1\jvs014\falset10\wav24kHz16bit\BASIC5000_1093.wav,湾岸諸国は常に、戦争の脅威にさらされている。
jvs015,parallel100,VOICEACTRESS100_071,..\dataset\jvs_ver1\jvs_ver1\jvs015\parallel100\wav24kHz16bit\VOICEACTRESS100_071.wav,ペンシルベニア州、フィラデルフィアの郊外、ウィンレッドのレンキナウ病院で生まれた。
jvs015,nonpara30,BASIC5000_1709,..\dataset\jvs_ver1\jvs_ver1\jvs015\nonpara30\wav24kHz16bit\BASIC5000_1709.wav,忍を行じてのみ、よく怨みを解くことを得る。
jvs015,whisper10,VOICEACTRESS100_005,..\dataset\jvs_ver1\jvs_ver1\jvs015\whisper10\wav24kHz16bit\VOICEACTRESS100_005.wav,シルバーサーファー襲撃事件までに、リチャーズは、チーム名と共に、国際的にスーパーヒーロー、および、有名人として、認知されている。
jvs015,falset10,VOICEACTRESS100_001,..\dataset\jvs_ver1\jvs_ver1\jvs015\falset10\wav24kHz16bit\VOICEACTRESS100_001.wav,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。
jvs016,parallel100,VOICEACTRESS100_074,..\dataset\jvs_ver1\jvs_ver1\jvs016\parallel100\wav24kHz16bit\VOICEACTRESS100_074.wav,レジェンドシリーズをベースに、ヨーフリー機構を備えた、ビューカメラ。
jvs016,nonpara30,BASIC5000_1297,..\dataset\jvs_ver1\jvs_ver1\jvs016\nonpara30\wav24kHz16bit\BASIC5000_1297.wav,野球場には、多くの興奮したファンがいました。
jvs016,whisper10,BASIC5000_2173,..\dataset\jvs_ver1\jvs_ver1\jvs016\whisper10\wav24kHz16bit\BASIC5000_2173.wav,鉦や太鼓で探しあてた割には、あいつ、期待はずれだったよな。
jvs016,falset10,BASIC5000_1711,..\dataset\jvs_ver1\jvs_ver1\jvs016\falset10\wav24kHz16bit\BASIC5000_1711.wav,ぼんやり運転していたら、入っていく道を見逃すよ。
jvs017,parallel100,VOICEACTRESS100_085,..\dataset\jvs_ver1\jvs_ver1\jvs017\parallel100\wav24kHz16bit\VOICEACTRESS100_085.wav,遺灰のほとんどは、スウェーデン西海岸の、ブーヒュースレーン地方の小島にある漁村、フヤルバッカ周辺の海に、散骨された。
jvs017,nonpara30,BASIC5000_2118,..\dataset\jvs_ver1\jvs_ver1\jvs017\nonpara30\wav24kHz16bit\BASIC5000_2118.wav,現状では、私たちは降参するしかない。
jvs017,whisper10,UT-PARAPHRASE-sent227-phrase1,..\dataset\jvs_ver1\jvs_ver1\jvs017\whisper10\wav24kHz16bit\UT-PARAPHRASE-sent227-phrase1.wav,それほど重要ではなく、世間体が気になる向きは、まず最寄りの保健所へ行き、専門医や病院を紹介してもらう。
jvs017,falset10,TRAVEL1000_0359,..\dataset\jvs_ver1\jvs_ver1\jvs017\falset10\wav24kHz16bit\TRAVEL1000_0359.wav,どの方法が、最もよいでしょうか。
jvs018,parallel100,VOICEACTRESS100_030,..\dataset\jvs_ver1\jvs_ver1\jvs018\parallel100\wav24kHz16bit\VOICEACTRESS100_030.wav,防氷ブーツは、表面に張られた、ゴム製の薄い膜でできている。
jvs018,nonpara30,TRAVEL1000_0989,..\dataset\jvs_ver1\jvs_ver1\jvs018\nonpara30\wav24kHz16bit\TRAVEL1000_0989.wav,ええっと、できれば、あそこのブースの席がよいのですが。
jvs018,whisper10,BASIC5000_1323,..\dataset\jvs_ver1\jvs_ver1\jvs018\whisper10\wav24kHz16bit\BASIC5000_1323.wav,大病からようやく生還した私の目には、森羅万象が美しく映った。
jvs018,falset10,VOICEACTRESS100_002,..\dataset\jvs_ver1\jvs_ver1\jvs018\falset10\wav24kHz16bit\VOICEACTRESS100_002.wav,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。
jvs019,parallel100,VOICEACTRESS100_036,..\dataset\jvs_ver1\jvs_ver1\jvs019\parallel100\wav24kHz16bit\VOICEACTRESS100_036.wav,番組冒頭を、東京ムービー製作のアニメーションで、表現する点も、共通していた。
jvs019,nonpara30,BASIC5000_1949,..\dataset\jvs_ver1\jvs_ver1\jvs019\nonpara30\wav24kHz16bit\BASIC5000_1949.wav,鍵がなかったら、彼女はその部屋に入れなかっただろう。
jvs019,whisper10,VOICEACTRESS100_001,..\dataset\jvs_ver1\jvs_ver1\jvs019\whisper10\wav24kHz16bit\VOICEACTRESS100_001.wav,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。
jvs019,falset10,BASIC5000_1659,..\dataset\jvs_ver1\jvs_ver1\jvs019\falset10\wav24kHz16bit\BASIC5000_1659.wav,スタッフの人たちともうまくいっています。
jvs020,parallel100,VOICEACTRESS100_048,..\dataset\jvs_ver1\jvs_ver1\jvs020\parallel100\wav24kHz16bit\VOICEACTRESS100_048.wav,そして、インデペンデント紙の、読者投票で選ぶ、プレミアリーグ最優秀ゴールキーパーに選ばれた。
jvs020,nonpara30,BASIC5000_1500,..\dataset\jvs_ver1\jvs_ver1\jvs020\nonpara30\wav24kHz16bit\BASIC5000_1500.wav,畑は、面積が３００エーカー以上ある。
jvs020,whisper10,BASIC5000_2350,..\dataset\jvs_ver1\jvs_ver1\jvs020\whisper10\wav24kHz16bit\BASIC5000_2350.wav,中立の国が、その論争の解決に貢献する事が求められていた。
jvs020,falset10,UT-PARAPHRASE-sent265-phrase1,..\dataset\jvs_ver1\jvs_ver1\jvs020\falset10\wav24kHz16bit\UT-PARAPHRASE-sent265-phrase1.wav,しかし、病変が脳の深部にあるほど、手術に伴う脳の変形が激しく、誤差が大きくなっていた。
jvs021,parallel100,VOICEACTRESS100_090,..\dataset\jvs_ver1\jvs_ver1\jvs021\parallel100\wav24kHz16bit\VOICEACTRESS100_090.wav,戦闘服は、両腕を露出し、両脚が、アンダースーツで覆われている。
jvs021,nonpara30,UT-PARAPHRASE-sent177-phrase2,..\dataset\jvs_ver1\jvs_ver1\jvs021\nonpara30\wav24kHz16bit\UT-PARAPHRASE-sent177-phrase2.wav,芝などは芽を出し、土ぼこりを上げていた荒野が、ほんのりと緑色に。
jvs021,whisper10,BASIC5000_0787,..\dataset\jvs_ver1\jvs_ver1\jvs021\whisper10\wav24kHz16bit\BASIC5000_0787.wav,感謝の気持ちを御伝えしたいのです。
jvs021,falset10,VOICEACTRESS100_005,..\dataset\jvs_ver1\jvs_ver1\jvs021\falset10\wav24kHz16bit\VOICEACTRESS100_005.wav,シルバーサーファー襲撃事件までに、リチャーズは、チーム名と共に、国際的にスーパーヒーロー、および、有名人として、認知されている。
jvs022,parallel100,VOICEACTRESS100_082,..\dataset\jvs_ver1\jvs_ver1\jvs022\parallel100\wav24kHz16bit\VOICEACTRESS100_082.wav,カーミラ星と呼ばれている惑星から、宇宙船に乗って、地球に侵入した宇宙人。
jvs022,nonpara30,BASIC5000_1253,..\dataset\jvs_ver1\jvs_ver1\jvs022\nonpara30\wav24kHz16bit\BASIC5000_1253.wav,毎月の収入の一部を、貯蓄すれば損はない。
jvs022,whisper10,VOICEACTRESS100_004,..\dataset\jvs_ver1\jvs_ver1\jvs022\whisper10\wav24kHz16bit\VOICEACTRESS100_004.wav,サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。
jvs022,falset10,BASIC5000_2586,..\dataset\jvs_ver1\jvs_ver1\jvs022\falset10\wav24kHz16bit\BASIC5000_2586.wav,大地震の発生から、応急対策の収束までの、避難の流れです。
